created,tweet_text
Sat Oct 23 03:24:06 +0000 2021,라그나로크라고?어떻게..../자동
Sat Oct 23 02:59:44 +0000 2021,RT @U27688281: 맞아요 라그나로크 이후 발드르는 한쌍의 남녀와 함께 저승에서 올라와 새 세계를 열어가죠
Sat Oct 23 02:53:34 +0000 2021,맞아요 라그나로크 이후 발드르는 한쌍의 남녀와 함께 저승에서 올라와 새 세계를 열어가죠
Sat Oct 23 01:51:14 +0000 2021,RT @lolopam_: 라그나로크 대본집 읽다가 로키창작연극씬에서ㅋㅋㅋㅋㅋㅠㅜ 로키가 토르 대사쓴것 좀 보셈 실제로는 토르가 로키한테 저런말 일절 안했다는게 진짜 개웃김 https://t.co/jlLnEORxIm
Sat Oct 23 01:44:26 +0000 2021,"그럼, ""라그나로크""를 일으키는 이 힘으로——
네가 비웃었던 파멸자의 힘으로 이 세상의 약자들을 지켜내겠다——
모두를 제물로 바치는 의식이 진정 신의 뜻이라면——
그럼, 나는 이 곳에서—— 신에게 선전포고를 하겠다."
Sat Oct 23 01:41:08 +0000 2021,"이야기는 계속해서 반복되는데
세계의 운명이라는 테피스트리 속에서 로키의 실은 늘 라그나로크와 가까이 엮여있었고... 그로 인해 늘 악역의 위치에 존재하기 쉬운 실이었다는 설정이
몇몇 팬픽에서 나오는데
그게 너무 좋아..."
Sat Oct 23 01:39:01 +0000 2021,"영픽 설정 중에서 진짜 사랑하는 것들 중 하나가
마블 세계관에서 지구에 있는 북유럽신화는 사실 지금의 세계가 탄생하기 전- 그러니까 라그나로크로 세계가 멸망하고 다시 태어나기 전 세계가 남겨놓은 흔적이자 메… https://t.co/UZnipShKL8"
Sat Oct 23 00:55:01 +0000 2021,RT @lolopam_: 라그나로크 대본집 읽다가 로키창작연극씬에서ㅋㅋㅋㅋㅋㅠㅜ 로키가 토르 대사쓴것 좀 보셈 실제로는 토르가 로키한테 저런말 일절 안했다는게 진짜 개웃김 https://t.co/jlLnEORxIm
Sat Oct 23 00:34:22 +0000 2021,야외 라그나로크!
Fri Oct 22 23:24:12 +0000 2021,로드의 순수한 혈통이 아니라면 라그나로크를 사용하지 못하는 것은 당연하겠지/자동
Fri Oct 22 21:49:00 +0000 2021,"RT @KimGogieClone: 토르 짧은 머리로 그릴 때마다 생각하는 건데, 이 헤어 스타일 진짜 어떻게 그려도 라그나로크와 인피니티워 그 느낌이 안 나잖아... ㅍ_ㅍ) 
그래도 연습한 게 아주 헛되지 않은 점은, 머리카락 패턴 정도는 어떻게…"
Fri Oct 22 16:11:27 +0000 2021,RT @lolopam_: 라그나로크 대본집 읽다가 로키창작연극씬에서ㅋㅋㅋㅋㅋㅠㅜ 로키가 토르 대사쓴것 좀 보셈 실제로는 토르가 로키한테 저런말 일절 안했다는게 진짜 개웃김 https://t.co/jlLnEORxIm
Fri Oct 22 16:00:46 +0000 2021,RT @lolopam_: 라그나로크 대본집 읽다가 로키창작연극씬에서ㅋㅋㅋㅋㅋㅠㅜ 로키가 토르 대사쓴것 좀 보셈 실제로는 토르가 로키한테 저런말 일절 안했다는게 진짜 개웃김 https://t.co/jlLnEORxIm
Fri Oct 22 15:54:44 +0000 2021,"RT @llapiuyuuuuu: 크림가지파스타랑 블루문 먹으면서 에이지 오브 개망작 울트론 보는 타래

어벤1 타래&gt;&gt;https://t.co/6NGUaLw0RE …
퍼벤&gt;&gt;https://t.co/p5iB6IigU0 …
윈솔&gt;&gt;https://t.co/…"
Fri Oct 22 15:53:49 +0000 2021,왜.네가 이것을...라그나로크를 가지고 있는거지?/자동
Fri Oct 22 15:49:44 +0000 2021,RT @lolopam_: 라그나로크 대본집 읽다가 로키창작연극씬에서ㅋㅋㅋㅋㅋㅠㅜ 로키가 토르 대사쓴것 좀 보셈 실제로는 토르가 로키한테 저런말 일절 안했다는게 진짜 개웃김 https://t.co/jlLnEORxIm
Fri Oct 22 15:19:42 +0000 2021,라그나로크 대본집 읽다가 로키창작연극씬에서ㅋㅋㅋㅋㅋㅠㅜ 로키가 토르 대사쓴것 좀 보셈 실제로는 토르가 로키한테 저런말 일절 안했다는게 진짜 개웃김 https://t.co/jlLnEORxIm
Fri Oct 22 14:51:27 +0000 2021,"RT @fxxkmxlxfx: 헤임달, 이젠 직감해야지. 라그나로크가 도래했어. 아름다운 걀라르호른 소리로 너의 에시르 신족에게 라그나로크의 도래를 알려야 할 때 아닌가. 여유를 부릴 시간이 아니야."
Fri Oct 22 12:37:19 +0000 2021,"토르 짧은 머리로 그릴 때마다 생각하는 건데, 이 헤어 스타일 진짜 어떻게 그려도 라그나로크와 인피니티워 그 느낌이 안 나잖아... ㅍ_ㅍ) 
그래도 연습한 게 아주 헛되지 않은 점은, 머리카락 패턴 정도는… https://t.co/Wfy7uYoTNH"
Fri Oct 22 12:34:00 +0000 2021,@thana93 저 일러스트 라그나로크 여프리 팬픽 생각나는 구도네
Fri Oct 22 11:46:03 +0000 2021,"RT @leeraeji124: 내가 생각했을 때 어울리는 맢크루 영화 / 영화 배우들
(제 생각일 뿐입니다.)

❤️:  크림슨 피크 - 루실 샤프
💛:  존 윅 - 존 윅
💚: 조커 - 아서 플렉/조커
💙:  토르: 라그나로크 - 토르
💜: 한니발…"
Fri Oct 22 11:25:11 +0000 2021,"RT @OverwatchKR: 라그나로크를 준비하십시오. ⚔️

에인헤랴르 자리야가 되어 적을 괴멸하세요! 에인헤랴르 자리야(영웅 스킨)는 10월 26일까지 획득할 수 있습니다. https://t.co/swiElLVaEl"
Fri Oct 22 11:24:26 +0000 2021,로드의 순수한 혈통이 아니라면 라그나로크를 사용하지 못하는 것은 당연하겠지/자동
